%# Absorption coefficients
%# USA model, high latitude, winter, H=0
%# Wavenumber range: 7443-7446 cm-1, T: 296 K, P: 1 atm, step: 0.0001 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
%# KNa, Ka and thier units definition in Eqs(2)-(3) of  http://hitran.iao.ru/home.sim-theory.sp-functions.
%# WN,cm-1           KNa,cm-1       Ka,cm**2/molecule (FORMAT F12.6,3X,E17.10,3X,E17.10)
%
 7443.015600    1.0741956475E-07    4.3325314246E-27
 7443.015700    1.0737585184E-07    4.3307683607E-27
 7443.015800    1.0733222511E-07    4.3290087727E-27
 7443.015900    1.0728868467E-07    4.3272526649E-27
 7443.016000    1.0724523063E-07    4.3255000420E-27
 7443.016100    1.0720186310E-07    4.3237509080E-27
 7443.016200    1.0715858217E-07    4.3220052672E-27
 7443.016300    1.0711538795E-07    4.3202631235E-27
 7443.016400    1.0707228053E-07    4.3185244810E-27
 7443.016500    1.0702926002E-07    4.3167893432E-27
 7443.016600    1.0698632649E-07    4.3150577139E-27
 7443.016700    1.0694348003E-07    4.3133295965E-27
 7443.016800    1.0690072074E-07    4.3116049945E-27
 7443.016900    1.0685804868E-07    4.3098839111E-27
 7443.017000    1.0681546394E-07    4.3081663495E-27
 7443.017100    1.0677296659E-07    4.3064523126E-27
 7443.017200    1.0673055671E-07    4.3047418034E-27
 7443.017300    1.0668823436E-07    4.3030348247E-27
 7443.017400    1.0664599961E-07    4.3013313792E-27
 7443.017500    1.0660385252E-07    4.2996314694E-27
 7443.017600    1.0656179316E-07    4.2979350977E-27
 7443.017700    1.0651982158E-07    4.2962422665E-27
 7443.017800    1.0647793784E-07    4.2945529779E-27
 7443.017900    1.0643614198E-07    4.2928672342E-27
 7443.018000    1.0639443406E-07    4.2911850373E-27
 7443.018100    1.0635281413E-07    4.2895063890E-27
 7443.018200    1.0631128223E-07    4.2878312912E-27
 7443.018300    1.0626983839E-07    4.2861597455E-27
 7443.018400    1.0622848267E-07    4.2844917536E-27
 7443.018500    1.0618721509E-07    4.2828273167E-27
 7443.018600    1.0614603569E-07    4.2811664364E-27
 7443.018700    1.0610494450E-07    4.2795091138E-27
 7443.018800    1.0606394155E-07    4.2778553502E-27
 7443.018900    1.0602302687E-07    4.2762051465E-27
 7443.019000    1.0598220047E-07    4.2745585036E-27
