%nu,H2O/x=.0014/T=296K/P=1atm/L=10cm
7443.686,8.65947246485e-07
7443.687,8.65020009506e-07
7443.688,8.64089680014e-07
7443.689,8.63157269401e-07
7443.69,8.62224070454e-07
7443.691,8.61291626902e-07
7443.692,8.60361699941e-07
7443.693,8.59436232581e-07
7443.694,8.58517312688e-07
7443.695,8.57607135587e-07
7443.696,8.56707967079e-07
7443.697,8.55822107618e-07
7443.698,8.54951858364e-07
7443.699,8.54099489706e-07
7443.7,8.53267212718e-07
7443.701,8.52457153937e-07
7443.702,8.51671333703e-07
7443.703,8.50911648184e-07
7443.704,8.5017985512e-07
7443.705,8.49477563198e-07
7443.706,8.48806224908e-07
7443.707,8.48167132631e-07
7443.708,8.47561417687e-07
7443.709,8.46990052005e-07
7443.71,8.46453852059e-07
7443.711,8.45953484724e-07
7443.712,8.4548947467e-07
7443.713,8.45062212963e-07
7443.714,8.44671966531e-07
7443.715,8.44318888208e-07
7443.716,8.44003027078e-07
7443.717,8.43724338881e-07
7443.718,8.434826963e-07
7443.719,8.43277898938e-07
7443.72,8.43109682878e-07
7443.721,8.42977729705e-07
7443.722,8.4288167494e-07
7443.723,8.42821115815e-07
7443.724,8.42795618381e-07
7443.725,8.4280472393e-07
7443.726,8.42847954752e-07
7443.727,8.42924819222e-07
7443.728,8.43034816274e-07
7443.729,8.43177439272e-07
7443.73,8.43352179329e-07
7443.731,8.43558528111e-07
7443.732,8.43795980175e-07
7443.733,8.44064034872e-07
7443.734,8.44362197862e-07
7443.735,8.4468998229e-07
7443.736,8.45046909639e-07
7443.737,8.45432510315e-07
7443.738,8.4584632399e-07
7443.739,8.46287899728e-07
7443.74,8.46756795923e-07
7443.741,8.4725258008e-07
7443.742,8.47774828448e-07
7443.743,8.48323125543e-07
7443.744,8.48897063553e-07
7443.745,8.49496241672e-07
7443.746,8.5012026534e-07
7443.747,8.5076874544e-07
7443.748,8.51441297436e-07
7443.749,8.52137540467e-07
7443.75,8.52857096421e-07
7443.751,8.53599588978e-07
7443.752,8.54364642645e-07
7443.753,8.55151881781e-07
7443.754,8.55960929634e-07
7443.755,8.56791407375e-07
7443.756,8.57642933166e-07
7443.757,8.58515121243e-07
7443.758,8.59407581039e-07
7443.759,8.60319916352e-07
7443.76,8.61251724565e-07
7443.761,8.62202595925e-07
7443.762,8.631721129e-07
7443.763,8.64159849608e-07
7443.764,8.65165371346e-07
7443.765,8.66188234213e-07
7443.766,8.67227984843e-07
7443.767,8.68284160259e-07
7443.768,8.69356287856e-07
7443.769,8.70443885514e-07
7443.77,8.71546461862e-07
7443.771,8.72663516684e-07
7443.772,8.73794541481e-07
7443.773,8.74939020195e-07
7443.774,8.76096430089e-07
7443.775,8.77266242781e-07
7443.776,8.78447925446e-07
7443.777,8.7964094216e-07
7443.778,8.808447554e-07
7443.779,8.82058827665e-07
7443.78,8.8328262324e-07
7443.781,8.84515610058e-07
7443.782,8.85757261662e-07
7443.783,8.87007059237e-07
7443.784,8.88264493707e-07
7443.785,8.89529067852e-07
7443.786,8.90800298448e-07
7443.787,8.92077718376e-07
7443.788,8.93360878702e-07
7443.789,8.94649350684e-07
7443.79,8.95942727685e-07
7443.791,8.97240626972e-07
7443.792,8.9854269137e-07
7443.793,8.99848590758e-07
7443.794,9.01158023372e-07
7443.795,9.02470716921e-07
7443.796,9.03786429475e-07
7443.797,9.05104950135e-07
7443.798,9.06426099463e-07
7443.799,9.07749729683e-07
7443.8,9.09075724629e-07
7443.801,9.10403999473e-07
7443.802,9.11734500207e-07
7443.803,9.13067202922e-07
7443.804,9.14402112867e-07
7443.805,9.15739263331e-07
7443.806,9.17078714341e-07
7443.807,9.18420551218e-07
7443.808,9.19764883004e-07
7443.809,9.21111840777e-07
7443.81,9.22461575897e-07
7443.811,9.23814258182e-07
7443.812,9.25170074067e-07
7443.813,9.26529224737e-07
7443.814,9.27891924289e-07
7443.815,9.29258397918e-07
7443.816,9.30628880162e-07
7443.817,9.32003613216e-07
7443.818,9.33382845329e-07
7443.819,9.34766829305e-07
7443.82,9.36155821107e-07
7443.821,9.37550078583e-07
7443.822,9.38949860308e-07
7443.823,9.40355424557e-07
7443.824,9.41767028401e-07
7443.825,9.43184926934e-07
7443.826,9.44609372613e-07
7443.827,9.46040614732e-07
7443.828,9.47478898996e-07
7443.829,9.48924467211e-07
7443.83,9.50377557064e-07
7443.831,9.51838402009e-07
7443.832,9.53307231219e-07
7443.833,9.54784269618e-07
7443.834,9.56269737983e-07
7443.835,9.57763853088e-07
7443.836,9.59266827904e-07
7443.837,9.60778871832e-07
7443.838,9.62300190966e-07
7443.839,9.63830988378e-07
7443.84,9.65371464412e-07
7443.841,9.66921816995e-07
7443.842,9.68482241942e-07
7443.843,9.70052933264e-07
7443.844,9.71634083459e-07
7443.845,9.73225883803e-07
7443.846,9.74828524618e-07
7443.847,9.76442195527e-07
7443.848,9.78067085685e-07
7443.849,9.79703383998e-07
7443.85,9.81351279307e-07
7443.851,9.83010960563e-07
7443.852,9.8468261697e-07
7443.853,9.86366438113e-07
7443.854,9.88062614055e-07
7443.855,9.89771335423e-07
7443.856,9.91492793466e-07
7443.857,9.93227180098e-07
7443.858,9.94974687925e-07
7443.859,9.96735510248e-07
7443.86,9.98509841059e-07
7443.861,1.00029787502e-06
7443.862,1.00209980744e-06
7443.863,1.0039158342e-06
7443.864,1.00574615175e-06
7443.865,1.00759095701e-06
7443.866,1.00945044733e-06
7443.867,1.01132482041e-06
7443.868,1.01321427421e-06
7443.869,1.01511900691e-06
7443.87,1.01703921681e-06
7443.871,1.01897510227e-06
7443.872,1.02092686159e-06
7443.873,1.02289469299e-06
7443.874,1.02487879452e-06
7443.875,1.02687936398e-06
7443.876,1.02889659886e-06
7443.877,1.03093069626e-06
7443.878,1.03298185289e-06
7443.879,1.03505026494e-06
7443.88,1.0371361281e-06
7443.881,1.03923963747e-06
7443.882,1.04136098755e-06
7443.883,1.04350037219e-06
7443.884,1.04565798458e-06
7443.885,1.04783401723e-06
7443.886,1.05002866194e-06
7443.887,1.05224210979e-06
7443.888,1.05447455116e-06
7443.889,1.05672617571e-06
7443.89,1.05899717238e-06
7443.891,1.06128772942e-06
7443.892,1.0635980344e-06
7443.893,1.06592827421e-06
7443.894,1.06827863512e-06
7443.895,1.07064930277e-06
7443.896,1.07304046224e-06
7443.897,1.07545229806e-06
7443.898,1.07788499426e-06
7443.899,1.08033873439e-06
7443.9,1.08281370161e-06
7443.901,1.08531007872e-06
7443.902,1.08782804819e-06
7443.903,1.09036779223e-06
7443.904,1.09292949286e-06
7443.905,1.09551333196e-06
7443.906,1.09811949133e-06
7443.907,1.10074815275e-06
7443.908,1.10339949803e-06
7443.909,1.10607370913e-06
7443.91,1.10877096816e-06
7443.911,1.11149145751e-06
7443.912,1.11423535988e-06
7443.913,1.11700285835e-06
7443.914,1.11979413651e-06
7443.915,1.12260937845e-06
7443.916,1.1254487689e-06
7443.917,1.12831249329e-06
7443.918,1.13120073779e-06
7443.919,1.13411368944e-06
7443.92,1.13705153621e-06
7443.921,1.14001446705e-06
7443.922,1.14300267199e-06
7443.923,1.14601634224e-06
7443.924,1.14905567022e-06
